PRO_COM_T,COD_PROV,comune,provincia,regione,popolazione,area_km2,densita_ab_km2
001131,001,"Lemie","1","1",153,45.68,3.3
001132,001,"Lessolo","1","1",1748,7.94,220.2
001133,001,"Levone","1","1",476,5.39,88.3
001134,001,"Locana","1","1",1280,132.52,9.7
001135,001,"Lombardore","1","1",1735,12.72,136.4
001136,001,"Lombriasco","1","1",1090,7.21,151.2
001137,001,"LoranzÃ¨","1","1",1204,4.19,287.4
001139,001,"Luserna San Giovanni","1","1",7118,17.74,401.2
001140,001,"Lusernetta","1","1",505,7.04,71.7
001141,001,"LusigliÃ¨","1","1",554,5.26,105.3
001142,001,"Macello","1","1",1180,14.14,83.5
001143,001,"Maglione","1","1",409,6.31,64.8
001144,001,"Marentino","1","1",1269,11.26,112.7
001145,001,"Massello","1","1",56,38.26,1.5
001146,001,"Mathi","1","1",3674,7.07,519.7
001147,001,"Mattie","1","1",679,28.69,23.7
001148,001,"MazzÃ¨","1","1",4298,27.33,157.3
001149,001,"Meana di Susa","1","1",787,16.54,47.6
001150,001,"Mercenasco","1","1",1355,12.64,107.2
001152,001,"Mezzenile","1","1",735,29.09,25.3
001153,001,"Mombello di Torino","1","1",399,4.08,97.8
001154,001,"Mompantero","1","1",612,30.33,20.2
001155,001,"Monastero di Lanzo","1","1",403,17.66,22.8
001156,001,"Moncalieri","1","1",55442,47.54,1166.2
001157,001,"Moncenisio","1","1",44,4.5,9.8
001158,001,"Montaldo Torinese","1","1",709,4.66,152.1
001159,001,"Montalenghe","1","1",966,6.47,149.3
001160,001,"Montalto Dora","1","1",3307,7.36,449.3
001161,001,"Montanaro","1","1",4974,20.9,238
001162,001,"Monteu da Po","1","1",824,7.39,111.5
001163,001,"Moriondo Torinese","1","1",823,6.49,126.8
001164,001,"Nichelino","1","1",45680,20.62,2215.3
001165,001,"Noasca","1","1",97,78.05,1.2
001166,001,"Nole","1","1",6660,11.35,586.8
001167,001,"Nomaglio","1","1",275,3.07,89.6
001168,001,"None","1","1",7641,24.64,310.1
001169,001,"Novalesa","1","1",525,28.55,18.4
001170,001,"Oglianico","1","1",1419,6.3,225.2
001171,001,"Orbassano","1","1",22779,22.21,1025.6
001172,001,"Orio Canavese","1","1",730,7.15,102.1
001173,001,"Osasco","1","1",1161,5.49,211.5
001174,001,"Osasio","1","1",896,4.58,195.6
001175,001,"Oulx","1","1",3295,99.79,33
001176,001,"Ozegna","1","1",1164,5.41,215.2
001177,001,"Palazzo Canavese","1","1",834,5.08,164.2
001178,001,"Pancalieri","1","1",1945,15.89,122.4
001179,001,"Parella","1","1",394,2.69,146.5
001180,001,"Pavarolo","1","1",1165,4.41,264.2
001181,001,"Pavone Canavese","1","1",3628,11.54,314.4
001183,001,"Pecetto Torinese","1","1",4007,9.15,437.9
001184,001,"Perosa Argentina","1","1",3138,26.09,120.3
001185,001,"Perosa Canavese","1","1",492,4.71,104.5
001186,001,"Perrero","1","1",547,63.39,8.6
001187,001,"Pertusio","1","1",744,4,186
001188,001,"Pessinetto","1","1",612,5.35,114.4
001189,001,"Pianezza","1","1",15657,16.46,951.2
001190,001,"Pinasca","1","1",2756,34.72,79.4
001191,001,"Pinerolo","1","1",35436,50.34,703.9
001192,001,"Pino Torinese","1","1",8336,21.82,382
001193,001,"Piobesi Torinese","1","1",3764,19.65,191.6
001194,001,"Piossasco","1","1",17844,40.15,444.4
001195,001,"Piscina","1","1",3288,9.9,332.1
001196,001,"Piverone","1","1",1224,11.03,111
001197,001,"Poirino","1","1",10165,75.62,134.4
001198,001,"Pomaretto","1","1",935,8.56,109.2
001199,001,"Pont Canavese","1","1",3017,19.06,158.3
001200,001,"Porte","1","1",1113,4.45,250.1
001201,001,"Pragelato","1","1",694,89.2,7.8
001202,001,"Prali","1","1",251,72.61,3.5
001203,001,"Pralormo","1","1",1872,29.85,62.7
001204,001,"Pramollo","1","1",211,22.48,9.4
001205,001,"Prarostino","1","1",1238,10.51,117.8
001206,001,"Prascorsano","1","1",686,6.24,109.9
001207,001,"Pratiglione","1","1",444,7.88,56.3
001208,001,"Quagliuzzo","1","1",333,2.04,163.2
001209,001,"Quassolo","1","1",329,3.96,83.1
001210,001,"Quincinetto","1","1",991,17.79,55.7
001211,001,"Reano","1","1",1779,6.67,266.7
001212,001,"Ribordone","1","1",43,43.6,1
001213,001,"Rivalba","1","1",1135,10.83,104.8
001214,001,"Rivalta di Torino","1","1",20019,25.11,797.3
001215,001,"Riva presso Chieri","1","1",4756,35.83,132.7
001216,001,"Rivara","1","1",2421,12.58,192.4
001217,001,"Rivarolo Canavese","1","1",12303,32.25,381.5
001218,001,"Rivarossa","1","1",1550,10.87,142.6
001219,001,"Rivoli","1","1",46551,29.5,1578
001220,001,"Robassomero","1","1",3056,8.58,356.2
001221,001,"Rocca Canavese","1","1",1727,14.19,121.7
001222,001,"Roletto","1","1",1965,9.7,202.6
001223,001,"Romano Canavese","1","1",2711,11.21,241.8
001224,001,"Ronco Canavese","1","1",383,96.27,4
001225,001,"Rondissone","1","1",1927,10.69,180.3
001226,001,"RorÃ","1","1",216,12.41,17.4
001227,001,"Roure","1","1",740,59.37,12.5
001228,001,"Rosta","1","1",5074,9.06,560
001229,001,"Rubiana","1","1",2591,26.94,96.2
001230,001,"Rueglio","1","1",788,15.1,52.2
001231,001,"Salassa","1","1",1850,4.95,373.7
001232,001,"Salbertrand","1","1",635,38.32,16.6
001233,001,"Salerano Canavese","1","1",471,2.1,224.3
