codice_comune,pop_0_14,pop_15_64,pop_65_plus,pop_male,pop_female
063044,1875,9099,3142,6970,7146
063045,5497,24831,5828,17658,18498
063046,966,5091,1798,3776,4079
063047,1430,7286,3019,5683,6052
063048,5293,23900,6313,17219,18287
063049,114858,583083,207109,436314,468736
063050,4627,22283,7154,16629,17435
063051,3008,15720,4636,11694,11670
063052,2432,10997,2825,8440,7814
063053,1436,7637,3063,5843,6293
063054,960,3924,999,2954,2929
063055,3753,15505,3545,11455,11348
063056,1740,8310,2604,6054,6600
063057,5462,25369,8776,18990,20617
063058,3129,15056,5332,11253,12264
063059,6012,32302,12899,24100,27113
063060,8859,48568,17238,36261,38404
063061,1046,6233,2692,4910,5061
063062,3680,16874,4245,12323,12476
063063,6368,27266,7897,20331,21200
063064,6665,31211,11303,23798,25381
063065,780,4198,1485,3136,3327
063066,1914,8341,1909,6297,5867
063067,4752,26037,10796,19587,21998
063068,4564,20885,5101,15804,14746
063069,408,2219,731,1638,1720
063070,1081,5493,1997,4077,4494
063071,1042,5348,2035,4084,4341
063072,3534,16836,5629,12664,13335
063073,4920,21805,5791,15908,16608
063074,2559,12677,3530,9336,9430
063075,1016,4403,1161,3212,3368
063076,2327,10727,3009,7916,8147
063077,940,4324,1107,3168,3203
063078,355,1945,765,1502,1563
063079,4307,22403,6515,16189,17036
063080,1668,9333,3948,7180,7769
063081,1536,6220,1510,4663,4603
063082,2411,11949,3013,8802,8571
063083,5838,24576,9082,18924,20572
063084,10536,50004,18299,38003,40836
063085,464,2289,597,1671,1679
063086,2539,13028,4566,9861,10272
063087,5058,20772,5652,15261,16221
063088,510,2638,971,2005,2114
063089,4490,17056,4375,12701,13220
063090,1929,7918,2055,5917,5985
063091,1156,5363,2003,4177,4345
063092,624,3225,1084,2405,2528
064001,501,2758,786,2005,2040
064002,452,2364,987,1890,1913
064003,131,1022,477,806,824
064004,105,844,432,718,663
064005,2164,12987,5506,10090,10567
064006,1082,6651,2449,4919,5263
064007,968,4847,1602,3610,3807
064008,5291,32859,13669,24576,27243
064009,281,1870,839,1524,1466
064010,508,2786,1077,2097,2274
064011,365,2083,976,1740,1684
064012,212,1425,532,1084,1085
064013,16,155,110,142,139
064014,216,1241,639,1039,1057
064015,353,2372,1365,2004,2086
064016,126,736,221,564,519
064017,389,1950,846,1572,1613
064018,276,1415,493,1095,1089
064019,108,757,377,610,632
064020,146,916,452,743,771
064021,114,613,232,485,474
064022,105,653,289,514,533
064023,138,1027,501,810,856
064024,151,900,403,733,721
064025,1016,5630,2072,4268,4450
064026,301,1702,509,1255,1257
064027,42,270,146,240,218
064028,229,1292,534,1008,1047
064029,367,2077,643,1637,1450
064030,137,792,340,629,640
064031,244,1209,341,901,893
064032,288,1471,703,1213,1249
064033,276,1762,794,1404,1428
064034,648,3502,1068,2680,2538
064035,330,2163,903,1702,1694
064036,329,2017,848,1578,1616
064037,57,313,224,300,294
064038,901,4915,1748,3751,3813
064039,202,1187,422,914,897
064040,127,859,460,698,748
064041,164,1267,580,1021,990
064042,137,899,385,736,685
064043,385,2039,819,1557,1686
064044,710,3716,1436,2862,3000
064045,97,726,239,556,506
064046,301,2015,675,1531,1460
064047,213,1099,344,817,839
064048,219,1090,450,896,863
064049,1224,7423,2769,5568,5848
064050,663,4181,1702,3255,3291
064051,16,198,119,160,173
064052,299,1948,979,1572,1654
064053,295,1961,786,1497,1545
064054,1412,7620,2320,5776,5576
064055,250,1382,521,1073,1080
064056,93,762,328,584,599
064057,813,4504,1820,3479,3658
064058,252,1505,763,1269,1251
064059,525,3207,1281,2520,2493
064060,55,410,195,328,332
064063,96,636,351,516,567
064064,203,994,338,751,784
064065,635,3314,1166,2619,2496
064066,418,2339,1026,1860,1923
064067,234,1287,442,973,990
064068,199,1129,356,822,862
064069,56,394,162,298,314
064070,216,1249,603,1041,1027
064071,38,168,91,152,145
064072,142,1238,539,994,925
064073,171,911,381,750,713
064074,307,1771,577,1342,1313
064075,389,2407,765,1784,1777
064076,241,1223,400,913,951
064077,213,1073,471,869,888
064078,267,1492,584,1209,1134
064079,74,458,233,383,382
064080,396,2175,758,1717,1612
064081,71,443,213,365,362
064082,97,714,293,593,511
064083,582,3024,1127,2359,2374
064084,251,1603,537,1201,1190
064085,99,449,189,361,376
064086,132,973,352,686,771
064087,162,884,416,714,748
